jahr;sportart;indikator;geschlecht;anzahl
2017;Judo;Kurse/Lager;;64
2017;Judo;Leitende;;149
2017;Judo;Teilnehmende;männlich;460
2017;Judo;Teilnehmende;weiblich;222
2017;Ju-Jitsu;Kurse/Lager;;11
2017;Ju-Jitsu;Leitende;;23
2017;Ju-Jitsu;Teilnehmende;männlich;65
2017;Ju-Jitsu;Teilnehmende;weiblich;79
2017;Karate;Kurse/Lager;;34
2017;Karate;Leitende;;104
2017;Karate;Teilnehmende;männlich;288
2017;Karate;Teilnehmende;weiblich;152
2017;Kids und Allround;Kurse/Lager;;143
2017;Kids und Allround;Leitende;;239
2017;Kids und Allround;Teilnehmende;männlich;932
2017;Kids und Allround;Teilnehmende;weiblich;898
2017;KJSBL, Kinder- und Jugendsport Baselland;Kurse/Lager;;64
2017;KJSBL, Kinder- und Jugendsport Baselland;Leitende;;180
2017;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;männlich;1067
2017;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;weiblich;797
2017;Lagersport/Trekking;Kurse/Lager;;96
2017;Lagersport/Trekking;Leitende;;459
2017;Lagersport/Trekking;Teilnehmende;männlich;1413
2017;Lagersport/Trekking;Teilnehmende;weiblich;1363
2017;Leichtathletik;Kurse/Lager;;98
2017;Leichtathletik;Leitende;;269
2017;Leichtathletik;Teilnehmende;männlich;735
2017;Leichtathletik;Teilnehmende;weiblich;1011
2017;Orientierungslauf;Kurse/Lager;;2
2017;Orientierungslauf;Leitende;;14
2017;Orientierungslauf;Teilnehmende;männlich;15
2017;Orientierungslauf;Teilnehmende;weiblich;14
2017;Pferdesport (Reiten und Voltigieren);Kurse/Lager;;75
2017;Pferdesport (Reiten und Voltigieren);Leitende;;97
2017;Pferdesport (Reiten und Voltigieren);Teilnehmende;männlich;25
2017;Pferdesport (Reiten und Voltigieren);Teilnehmende;weiblich;379
2017;Polysportive Lager und Kurse;Kurse/Lager;;77
2017;Polysportive Lager und Kurse;Leitende;;349
2017;Polysportive Lager und Kurse;Teilnehmende;männlich;1642
2017;Polysportive Lager und Kurse;Teilnehmende;weiblich;1613
2017;Radsport (Kunstradfahren, Mountainbike und Strasse);Kurse/Lager;;6
2017;Radsport (Kunstradfahren, Mountainbike und Strasse);Leitende;;17
2017;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;männlich;48
2017;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;weiblich;9
2017;Schiessen (Gewehr und Pistole);Kurse/Lager;;26
2017;Schiessen (Gewehr und Pistole);Leitende;;52
2017;Schiessen (Gewehr und Pistole);Teilnehmende;männlich;122
2017;Schiessen (Gewehr und Pistole);Teilnehmende;weiblich;31
2017;Schwimmen, Rettungsschwimmen und Wasserball;Kurse/Lager;;137
2017;Schwimmen, Rettungsschwimmen und Wasserball;Leitende;;214
2017;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;männlich;549
2017;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;weiblich;744
2017;Schwingen;Kurse/Lager;;1
2017;Schwingen;Leitende;;2
2017;Schwingen;Teilnehmende;männlich;8
2017;Schwingen;Teilnehmende;weiblich;0
2017;Segeln;Kurse/Lager;;1
2017;Segeln;Leitende;;7
2017;Segeln;Teilnehmende;männlich;4
2017;Segeln;Teilnehmende;weiblich;4
2017;Skifahren;Kurse/Lager;;9
2017;Skifahren;Leitende;;37
2017;Skifahren;Teilnehmende;männlich;158
2017;Skifahren;Teilnehmende;weiblich;154
2017;Snowboard;Kurse/Lager;;1
2017;Snowboard;Leitende;;3
2017;Snowboard;Teilnehmende;männlich;11
2017;Snowboard;Teilnehmende;weiblich;13
2017;Speedskating;Kurse/Lager;;2
2017;Speedskating;Leitende;;4
2017;Speedskating;Teilnehmende;männlich;11
2017;Speedskating;Teilnehmende;weiblich;6
2017;Sportklettern;Kurse/Lager;;8
2017;Sportklettern;Leitende;;25
2017;Sportklettern;Teilnehmende;männlich;22
2017;Sportklettern;Teilnehmende;weiblich;17
2017;Squash;Kurse/Lager;;16
2017;Squash;Leitende;;20
2017;Squash;Teilnehmende;männlich;107
2017;Squash;Teilnehmende;weiblich;28
2017;Tennis;Kurse/Lager;;449
2017;Tennis;Leitende;;508
2017;Tennis;Teilnehmende;männlich;1450
2017;Tennis;Teilnehmende;weiblich;541
2017;Tischtennis;Kurse/Lager;;15
2017;Tischtennis;Leitende;;37
2017;Tischtennis;Teilnehmende;männlich;150
2017;Tischtennis;Teilnehmende;weiblich;8
2017;Turnen und Rhönrad;Kurse/Lager;;324
2017;Turnen und Rhönrad;Leitende;;724
2017;Turnen und Rhönrad;Teilnehmende;männlich;1491
2017;Turnen und Rhönrad;Teilnehmende;weiblich;2489
2017;Unihockey;Kurse/Lager;;63
2017;Unihockey;Leitende;;118
2017;Unihockey;Teilnehmende;männlich;746
2017;Unihockey;Teilnehmende;weiblich;206
2017;Volleyball;Kurse/Lager;;98
2017;Volleyball;Leitende;;191
2017;Volleyball;Teilnehmende;männlich;157
2017;Volleyball;Teilnehmende;weiblich;1003
2018;Badminton;Kurse/Lager;;54
2018;Badminton;Leitende;;132
2018;Badminton;Teilnehmende;männlich;402
2018;Badminton;Teilnehmende;weiblich;218
2018;Baseball/Softball;Kurse/Lager;;8
2018;Baseball/Softball;Leitende;;20
2018;Baseball/Softball;Teilnehmende;männlich;75
2018;Baseball/Softball;Teilnehmende;weiblich;1
2018;Basketball und Korbball;Kurse/Lager;;85
2018;Basketball und Korbball;Leitende;;171
2018;Basketball und Korbball;Teilnehmende;männlich;648
2018;Basketball und Korbball;Teilnehmende;weiblich;239
2018;Curling;Kurse/Lager;;1
2018;Curling;Leitende;;1
2018;Curling;Teilnehmende;männlich;5
2018;Curling;Teilnehmende;weiblich;0
2018;Diverse Sportarten;Kurse/Lager;;1
2018;Diverse Sportarten;Leitende;;1
2018;Diverse Sportarten;Teilnehmende;männlich;4
2018;Diverse Sportarten;Teilnehmende;weiblich;0
2018;Eishockey;Kurse/Lager;;18
2018;Eishockey;Leitende;;45
2018;Eishockey;Teilnehmende;männlich;247
2018;Eishockey;Teilnehmende;weiblich;28
2018;Eiskunstlauf/Eistanz;Kurse/Lager;;69
2018;Eiskunstlauf/Eistanz;Leitende;;177
2018;Eiskunstlauf/Eistanz;Teilnehmende;männlich;48
2018;Eiskunstlauf/Eistanz;Teilnehmende;weiblich;566
2018;Faustball;Kurse/Lager;;2
2018;Faustball;Leitende;;5
2018;Faustball;Teilnehmende;männlich;14
2018;Faustball;Teilnehmende;weiblich;10
2018;Fussball;Kurse/Lager;;613
2018;Fussball;Leitende;;898
2018;Fussball;Teilnehmende;männlich;8313
2018;Fussball;Teilnehmende;weiblich;763
2018;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Kurse/Lager;;158
2018;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Leitende;;363
2018;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;männlich;359
2018;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;weiblich;1551
2018;Gymnastik, Tanz und Tanzsport;Kurse/Lager;;54
2018;Gymnastik, Tanz und Tanzsport;Leitende;;98
2018;Gymnastik, Tanz und Tanzsport;Teilnehmende;männlich;48
2018;Gymnastik, Tanz und Tanzsport;Teilnehmende;weiblich;581
2018;Handball;Kurse/Lager;;67
2018;Handball;Leitende;;162
2018;Handball;Teilnehmende;männlich;622
2018;Handball;Teilnehmende;weiblich;256
2018;Judo;Kurse/Lager;;90
2018;Judo;Leitende;;220
2018;Judo;Teilnehmende;männlich;627
2018;Judo;Teilnehmende;weiblich;313
2018;Ju-Jitsu;Kurse/Lager;;18
2018;Ju-Jitsu;Leitende;;36
2018;Ju-Jitsu;Teilnehmende;männlich;99
2018;Ju-Jitsu;Teilnehmende;weiblich;80
2018;Karate;Kurse/Lager;;94
2018;Karate;Leitende;;228
2018;Karate;Teilnehmende;männlich;735
2018;Karate;Teilnehmende;weiblich;393
2018;Kids und Allround;Kurse/Lager;;152
2018;Kids und Allround;Leitende;;240
2018;Kids und Allround;Teilnehmende;männlich;1058
2018;Kids und Allround;Teilnehmende;weiblich;982
2018;KJSBL, Kinder- und Jugendsport Baselland;Kurse/Lager;;69
2018;KJSBL, Kinder- und Jugendsport Baselland;Leitende;;180
2018;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;männlich;911
2018;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;weiblich;747
2018;Lagersport/Trekking;Kurse/Lager;;85
2018;Lagersport/Trekking;Leitende;;467
2018;Lagersport/Trekking;Teilnehmende;männlich;1373
2018;Lagersport/Trekking;Teilnehmende;weiblich;1411
2018;Leichtathletik;Kurse/Lager;;117
2018;Leichtathletik;Leitende;;302
2018;Leichtathletik;Teilnehmende;männlich;863
2018;Leichtathletik;Teilnehmende;weiblich;1202
2018;Orientierungslauf;Kurse/Lager;;2
2018;Orientierungslauf;Leitende;;13
2018;Orientierungslauf;Teilnehmende;männlich;19
2018;Orientierungslauf;Teilnehmende;weiblich;3
2018;Pferdesport (Reiten und Voltigieren);Kurse/Lager;;152
2018;Pferdesport (Reiten und Voltigieren);Leitende;;201
2018;Pferdesport (Reiten und Voltigieren);Teilnehmende;männlich;65
2018;Pferdesport (Reiten und Voltigieren);Teilnehmende;weiblich;864
2018;Polysportive Lager und Kurse;Kurse/Lager;;68
2018;Polysportive Lager und Kurse;Leitende;;305
2018;Polysportive Lager und Kurse;Teilnehmende;männlich;1425
2018;Polysportive Lager und Kurse;Teilnehmende;weiblich;1461
2018;Radsport (Kunstradfahren, Mountainbike und Strasse);Kurse/Lager;;13
2018;Radsport (Kunstradfahren, Mountainbike und Strasse);Leitende;;20
2018;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;männlich;98
2018;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;weiblich;43
2018;Schiessen (Gewehr und Pistole);Kurse/Lager;;22
2018;Schiessen (Gewehr und Pistole);Leitende;;37
2018;Schiessen (Gewehr und Pistole);Teilnehmende;männlich;99
2018;Schiessen (Gewehr und Pistole);Teilnehmende;weiblich;32
2018;Schwimmen, Rettungsschwimmen und Wasserball;Kurse/Lager;;122
2018;Schwimmen, Rettungsschwimmen und Wasserball;Leitende;;269
2018;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;männlich;571
2018;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;weiblich;793
2018;Schwingen;Kurse/Lager;;10
2018;Schwingen;Leitende;;23
2018;Schwingen;Teilnehmende;männlich;94
2018;Schwingen;Teilnehmende;weiblich;1
2018;Segeln;Kurse/Lager;;1
2018;Segeln;Leitende;;5
2018;Segeln;Teilnehmende;männlich;2
2018;Segeln;Teilnehmende;weiblich;1
2018;Skifahren;Kurse/Lager;;18
2018;Skifahren;Leitende;;56
2018;Skifahren;Teilnehmende;männlich;287
2018;Skifahren;Teilnehmende;weiblich;260
2018;Speedskating;Kurse/Lager;;2
2018;Speedskating;Leitende;;6
2018;Speedskating;Teilnehmende;männlich;12
2018;Speedskating;Teilnehmende;weiblich;8
2018;Sportklettern;Kurse/Lager;;6
2018;Sportklettern;Leitende;;32
2018;Sportklettern;Teilnehmende;männlich;17
2018;Sportklettern;Teilnehmende;weiblich;22
2018;Squash;Kurse/Lager;;23
2018;Squash;Leitende;;28
2018;Squash;Teilnehmende;männlich;160
2018;Squash;Teilnehmende;weiblich;53
2018;Synchronized Skating;Kurse/Lager;;12
2018;Synchronized Skating;Leitende;;31
2018;Synchronized Skating;Teilnehmende;männlich;6
2018;Synchronized Skating;Teilnehmende;weiblich;143
2018;Tennis;Kurse/Lager;;438
2018;Tennis;Leitende;;566
2018;Tennis;Teilnehmende;männlich;1598
2018;Tennis;Teilnehmende;weiblich;657
2018;Tischtennis;Kurse/Lager;;15
2018;Tischtennis;Leitende;;33
2018;Tischtennis;Teilnehmende;männlich;146
2018;Tischtennis;Teilnehmende;weiblich;12
2018;Turnen und Rhönrad;Kurse/Lager;;426
2018;Turnen und Rhönrad;Leitende;;1014
2018;Turnen und Rhönrad;Teilnehmende;männlich;2068
2018;Turnen und Rhönrad;Teilnehmende;weiblich;3204
2018;Unihockey;Kurse/Lager;;86
2018;Unihockey;Leitende;;156
2018;Unihockey;Teilnehmende;männlich;956
2018;Unihockey;Teilnehmende;weiblich;286
2018;Volleyball;Kurse/Lager;;116
2018;Volleyball;Leitende;;232
2018;Volleyball;Teilnehmende;männlich;285
2018;Volleyball;Teilnehmende;weiblich;1061
2019;Badminton;Kurse/Lager;;44
2019;Badminton;Leitende;;99
2019;Badminton;Teilnehmende;männlich;287
2019;Badminton;Teilnehmende;weiblich;174
2019;Baseball/Softball;Kurse/Lager;;10
2019;Baseball/Softball;Leitende;;25
2019;Baseball/Softball;Teilnehmende;männlich;64
2019;Baseball/Softball;Teilnehmende;weiblich;7
2019;Basketball und Korbball;Kurse/Lager;;77
2019;Basketball und Korbball;Leitende;;145
2019;Basketball und Korbball;Teilnehmende;männlich;591
2019;Basketball und Korbball;Teilnehmende;weiblich;246
2019;Bergsport;Kurse/Lager;;1
2019;Bergsport;Leitende;;9
2019;Bergsport;Teilnehmende;männlich;1
2019;Bergsport;Teilnehmende;weiblich;4
2019;Diverse Sportarten;Kurse/Lager;;1
2019;Diverse Sportarten;Leitende;;1
2019;Diverse Sportarten;Teilnehmende;männlich;5
2019;Diverse Sportarten;Teilnehmende;weiblich;1
2019;Eishockey;Kurse/Lager;;19
2019;Eishockey;Leitende;;41
2019;Eishockey;Teilnehmende;männlich;302
2019;Eishockey;Teilnehmende;weiblich;23
2019;Eiskunstlauf/Eistanz;Kurse/Lager;;56
2019;Eiskunstlauf/Eistanz;Leitende;;159
2019;Eiskunstlauf/Eistanz;Teilnehmende;männlich;60
2019;Eiskunstlauf/Eistanz;Teilnehmende;weiblich;498
2019;Faustball;Kurse/Lager;;1
2019;Faustball;Leitende;;3
2019;Faustball;Teilnehmende;männlich;4
2019;Faustball;Teilnehmende;weiblich;2
2019;Fussball;Kurse/Lager;;523
2019;Fussball;Leitende;;842
2019;Fussball;Teilnehmende;männlich;6852
2019;Fussball;Teilnehmende;weiblich;576
2019;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Kurse/Lager;;164
2019;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Leitende;;371
2019;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;männlich;411
2019;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;weiblich;1479
2019;Gymnastik, Tanz und Tanzsport;Kurse/Lager;;48
2019;Gymnastik, Tanz und Tanzsport;Leitende;;73
2019;Gymnastik, Tanz und Tanzsport;Teilnehmende;männlich;58
2019;Gymnastik, Tanz und Tanzsport;Teilnehmende;weiblich;488
2019;Handball;Kurse/Lager;;57
2019;Handball;Leitende;;138
2019;Handball;Teilnehmende;männlich;542
2019;Handball;Teilnehmende;weiblich;190
2019;Judo;Kurse/Lager;;64
2019;Judo;Leitende;;150
2019;Judo;Teilnehmende;männlich;378
2019;Judo;Teilnehmende;weiblich;184
2019;Ju-Jitsu;Kurse/Lager;;12
2019;Ju-Jitsu;Leitende;;25
2019;Ju-Jitsu;Teilnehmende;männlich;58
2019;Ju-Jitsu;Teilnehmende;weiblich;56
2019;Karate;Kurse/Lager;;64
2019;Karate;Leitende;;198
2019;Karate;Teilnehmende;männlich;527
2019;Karate;Teilnehmende;weiblich;261
2019;Kids und Allround;Kurse/Lager;;97
2019;Kids und Allround;Leitende;;156
2019;Kids und Allround;Teilnehmende;männlich;660
2019;Kids und Allround;Teilnehmende;weiblich;598
2019;KJSBL, Kinder- und Jugendsport Baselland;Kurse/Lager;;53
2019;KJSBL, Kinder- und Jugendsport Baselland;Leitende;;81
2019;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;männlich;460
2019;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;weiblich;486
2019;Lagersport/Trekking;Kurse/Lager;;91
2019;Lagersport/Trekking;Leitende;;487
2019;Lagersport/Trekking;Teilnehmende;männlich;1342
2019;Lagersport/Trekking;Teilnehmende;weiblich;1452
2019;Leichtathletik;Kurse/Lager;;112
2019;Leichtathletik;Leitende;;293
2019;Leichtathletik;Teilnehmende;männlich;850
2019;Leichtathletik;Teilnehmende;weiblich;1167
2019;Orientierungslauf;Kurse/Lager;;2
2019;Orientierungslauf;Leitende;;17
2019;Orientierungslauf;Teilnehmende;männlich;6
2019;Orientierungslauf;Teilnehmende;weiblich;9
2019;Pferdesport (Reiten und Voltigieren);Kurse/Lager;;90
2019;Pferdesport (Reiten und Voltigieren);Leitende;;115
2019;Pferdesport (Reiten und Voltigieren);Teilnehmende;männlich;28
2019;Pferdesport (Reiten und Voltigieren);Teilnehmende;weiblich;502
2019;Polysportive Lager und Kurse;Kurse/Lager;;75
2019;Polysportive Lager und Kurse;Leitende;;307
2019;Polysportive Lager und Kurse;Teilnehmende;männlich;1461
2019;Polysportive Lager und Kurse;Teilnehmende;weiblich;1407
2019;Radsport (Kunstradfahren, Mountainbike und Strasse);Kurse/Lager;;11
2019;Radsport (Kunstradfahren, Mountainbike und Strasse);Leitende;;20
2019;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;männlich;80
2019;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;weiblich;18
2019;Schiessen (Gewehr und Pistole);Kurse/Lager;;21
2019;Schiessen (Gewehr und Pistole);Leitende;;31
2019;Schiessen (Gewehr und Pistole);Teilnehmende;männlich;89
2019;Schiessen (Gewehr und Pistole);Teilnehmende;weiblich;27
2019;Schwimmen, Rettungsschwimmen und Wasserball;Kurse/Lager;;74
2019;Schwimmen, Rettungsschwimmen und Wasserball;Leitende;;162
2019;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;männlich;364
2019;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;weiblich;437
2019;Schwingen;Kurse/Lager;;7
2019;Schwingen;Leitende;;13
2019;Schwingen;Teilnehmende;männlich;50
2019;Schwingen;Teilnehmende;weiblich;1
2019;Segeln;Kurse/Lager;;1
2019;Segeln;Leitende;;6
2019;Segeln;Teilnehmende;männlich;2
2019;Segeln;Teilnehmende;weiblich;0
2019;Skifahren;Kurse/Lager;;16
2019;Skifahren;Leitende;;57
2019;Skifahren;Teilnehmende;männlich;275
2019;Skifahren;Teilnehmende;weiblich;250
2019;Skilanglauf;Kurse/Lager;;1
2019;Skilanglauf;Leitende;;4
2019;Skilanglauf;Teilnehmende;männlich;4
2019;Skilanglauf;Teilnehmende;weiblich;2
2019;Skitouren;Kurse/Lager;;1
2019;Skitouren;Leitende;;2
2019;Skitouren;Teilnehmende;männlich;9
2019;Skitouren;Teilnehmende;weiblich;3
2019;Speedskating;Kurse/Lager;;1
2019;Speedskating;Leitende;;3
2019;Speedskating;Teilnehmende;männlich;4
2019;Speedskating;Teilnehmende;weiblich;6
2019;Sportklettern;Kurse/Lager;;8
2019;Sportklettern;Leitende;;31
2019;Sportklettern;Teilnehmende;männlich;22
2019;Sportklettern;Teilnehmende;weiblich;41
2019;Squash;Kurse/Lager;;9
2019;Squash;Leitende;;11
2019;Squash;Teilnehmende;männlich;61
2019;Squash;Teilnehmende;weiblich;22
2019;Synchronized Skating;Kurse/Lager;;5
2019;Synchronized Skating;Leitende;;13
2019;Synchronized Skating;Teilnehmende;männlich;2
2019;Synchronized Skating;Teilnehmende;weiblich;53
2019;Tennis;Kurse/Lager;;582
2019;Tennis;Leitende;;741
2019;Tennis;Teilnehmende;männlich;1932
2019;Tennis;Teilnehmende;weiblich;774
2019;Tischtennis;Kurse/Lager;;4
2019;Tischtennis;Leitende;;6
2019;Tischtennis;Teilnehmende;männlich;36
2019;Tischtennis;Teilnehmende;weiblich;1
2019;Turnen und Rhönrad;Kurse/Lager;;313
2019;Turnen und Rhönrad;Leitende;;723
2019;Turnen und Rhönrad;Teilnehmende;männlich;1592
2019;Turnen und Rhönrad;Teilnehmende;weiblich;2420
2019;Unihockey;Kurse/Lager;;80
2019;Unihockey;Leitende;;149
2019;Unihockey;Teilnehmende;männlich;938
2019;Unihockey;Teilnehmende;weiblich;265
2019;Volleyball;Kurse/Lager;;104
2019;Volleyball;Leitende;;220
2019;Volleyball;Teilnehmende;männlich;251
2019;Volleyball;Teilnehmende;weiblich;919
2020;Badminton;Kurse/Lager;;75
2020;Badminton;Leitende;;161
2020;Badminton;Teilnehmende;männlich;470
2020;Badminton;Teilnehmende;weiblich;262
2020;Baseball/Softball;Kurse/Lager;;10
2020;Baseball/Softball;Leitende;;22
2020;Baseball/Softball;Teilnehmende;männlich;57
2020;Baseball/Softball;Teilnehmende;weiblich;12
2020;Basketball und Korbball;Kurse/Lager;;121
2020;Basketball und Korbball;Leitende;;205
2020;Basketball und Korbball;Teilnehmende;männlich;886
2020;Basketball und Korbball;Teilnehmende;weiblich;385
2020;Bergsport;Kurse/Lager;;2
2020;Bergsport;Leitende;;19
2020;Bergsport;Teilnehmende;männlich;5
2020;Bergsport;Teilnehmende;weiblich;2
2020;Curling;Kurse/Lager;;8
2020;Curling;Leitende;;8
2020;Curling;Teilnehmende;männlich;23
2020;Curling;Teilnehmende;weiblich;13
2020;Diverse Sportarten;Kurse/Lager;;1
2020;Diverse Sportarten;Leitende;;1
2020;Diverse Sportarten;Teilnehmende;männlich;4
2020;Diverse Sportarten;Teilnehmende;weiblich;1
2020;Eishockey;Kurse/Lager;;16
2020;Eishockey;Leitende;;43
2020;Eishockey;Teilnehmende;männlich;248
2020;Eishockey;Teilnehmende;weiblich;31
2020;Eiskunstlauf/Eistanz;Kurse/Lager;;68
2020;Eiskunstlauf/Eistanz;Leitende;;158
2020;Eiskunstlauf/Eistanz;Teilnehmende;männlich;52
2020;Eiskunstlauf/Eistanz;Teilnehmende;weiblich;540
2020;Faustball;Kurse/Lager;;1
2020;Faustball;Leitende;;2
2020;Faustball;Teilnehmende;männlich;4
2020;Faustball;Teilnehmende;weiblich;4
2020;Fussball;Kurse/Lager;;859
2020;Fussball;Leitende;;1246
2020;Fussball;Teilnehmende;männlich;10512
2020;Fussball;Teilnehmende;weiblich;982
2020;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Kurse/Lager;;217
2020;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Leitende;;549
2020;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;männlich;494
2020;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;weiblich;2156
2020;Gymnastik, Tanz und Tanzsport;Kurse/Lager;;65
2020;Gymnastik, Tanz und Tanzsport;Leitende;;115
2020;Gymnastik, Tanz und Tanzsport;Teilnehmende;männlich;50
2020;Gymnastik, Tanz und Tanzsport;Teilnehmende;weiblich;580
2020;Handball;Kurse/Lager;;73
2020;Handball;Leitende;;168
2020;Handball;Teilnehmende;männlich;679
2020;Handball;Teilnehmende;weiblich;265
2020;Judo;Kurse/Lager;;105
2020;Judo;Leitende;;254
2020;Judo;Teilnehmende;männlich;503
2020;Judo;Teilnehmende;weiblich;277
2020;Ju-Jitsu;Kurse/Lager;;17
2020;Ju-Jitsu;Leitende;;35
2020;Ju-Jitsu;Teilnehmende;männlich;93
2020;Ju-Jitsu;Teilnehmende;weiblich;89
2020;Karate;Kurse/Lager;;114
2020;Karate;Leitende;;260
2020;Karate;Teilnehmende;männlich;753
2020;Karate;Teilnehmende;weiblich;333
2020;Kids und Allround;Kurse/Lager;;82
2020;Kids und Allround;Leitende;;253
2020;Kids und Allround;Teilnehmende;männlich;1253
2020;Kids und Allround;Teilnehmende;weiblich;1222
2020;KJSBL, Kinder- und Jugendsport Baselland;Kurse/Lager;;59
2020;KJSBL, Kinder- und Jugendsport Baselland;Leitende;;142
2020;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;männlich;549
2020;KJSBL, Kinder- und Jugendsport Baselland;Teilnehmende;weiblich;571
2020;Lagersport/Trekking;Kurse/Lager;;41
2020;Lagersport/Trekking;Leitende;;253
2020;Lagersport/Trekking;Teilnehmende;männlich;597
2020;Lagersport/Trekking;Teilnehmende;weiblich;672
2020;Leichtathletik;Kurse/Lager;;117
2020;Leichtathletik;Leitende;;308
2020;Leichtathletik;Teilnehmende;männlich;800
2020;Leichtathletik;Teilnehmende;weiblich;1096
2020;Orientierungslauf;Kurse/Lager;;1
2020;Orientierungslauf;Leitende;;6
2020;Orientierungslauf;Teilnehmende;männlich;4
2020;Orientierungslauf;Teilnehmende;weiblich;5
2020;Pferdesport (Reiten und Voltigieren);Kurse/Lager;;123
2020;Pferdesport (Reiten und Voltigieren);Leitende;;179
2020;Pferdesport (Reiten und Voltigieren);Teilnehmende;männlich;47
2020;Pferdesport (Reiten und Voltigieren);Teilnehmende;weiblich;728
2020;Polysportive Lager und Kurse;Kurse/Lager;;135
2020;Polysportive Lager und Kurse;Leitende;;192
2020;Polysportive Lager und Kurse;Teilnehmende;männlich;903
2020;Polysportive Lager und Kurse;Teilnehmende;weiblich;874
2020;Radsport (Kunstradfahren, Mountainbike und Strasse);Kurse/Lager;;15
2020;Radsport (Kunstradfahren, Mountainbike und Strasse);Leitende;;25
2020;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;männlich;78
2020;Radsport (Kunstradfahren, Mountainbike und Strasse);Teilnehmende;weiblich;43
2020;Schiessen (Gewehr und Pistole);Kurse/Lager;;18
2020;Schiessen (Gewehr und Pistole);Leitende;;23
2020;Schiessen (Gewehr und Pistole);Teilnehmende;männlich;80
2020;Schiessen (Gewehr und Pistole);Teilnehmende;weiblich;30
2020;Schwimmen, Rettungsschwimmen und Wasserball;Kurse/Lager;;139
2020;Schwimmen, Rettungsschwimmen und Wasserball;Leitende;;275
2020;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;männlich;603
2020;Schwimmen, Rettungsschwimmen und Wasserball;Teilnehmende;weiblich;693
2020;Schwingen;Kurse/Lager;;18
2020;Schwingen;Leitende;;39
2020;Schwingen;Teilnehmende;männlich;113
2020;Schwingen;Teilnehmende;weiblich;1
2020;Skifahren;Kurse/Lager;;12
2020;Skifahren;Leitende;;40
2020;Skifahren;Teilnehmende;männlich;152
2020;Skifahren;Teilnehmende;weiblich;139
2020;Skilanglauf;Kurse/Lager;;1
2020;Skilanglauf;Leitende;;4
2020;Skilanglauf;Teilnehmende;männlich;5
2020;Skilanglauf;Teilnehmende;weiblich;1
2020;Speedskating;Kurse/Lager;;1
2020;Speedskating;Leitende;;3
2020;Speedskating;Teilnehmende;männlich;3
2020;Speedskating;Teilnehmende;weiblich;6
2020;Sportklettern;Kurse/Lager;;9
2020;Sportklettern;Leitende;;52
2020;Sportklettern;Teilnehmende;männlich;41
2020;Sportklettern;Teilnehmende;weiblich;42
2020;Squash;Kurse/Lager;;24
2020;Squash;Leitende;;25
2020;Squash;Teilnehmende;männlich;170
2020;Squash;Teilnehmende;weiblich;47
2020;Synchronized Skating;Kurse/Lager;;3
2020;Synchronized Skating;Leitende;;10
2020;Synchronized Skating;Teilnehmende;männlich;2
2020;Synchronized Skating;Teilnehmende;weiblich;39
2020;Tennis;Kurse/Lager;;712
2020;Tennis;Leitende;;872
2020;Tennis;Teilnehmende;männlich;2389
2020;Tennis;Teilnehmende;weiblich;943
2020;Tischtennis;Kurse/Lager;;25
2020;Tischtennis;Leitende;;58
2020;Tischtennis;Teilnehmende;männlich;224
2020;Tischtennis;Teilnehmende;weiblich;21
2020;Turnen und Rhönrad;Kurse/Lager;;472
2020;Turnen und Rhönrad;Leitende;;1070
2020;Turnen und Rhönrad;Teilnehmende;männlich;2286
