Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
SBO;202406111200;22.60;0.00;5.00;692.00;54.20;12.90;188.00;7.60;18.00;967.80;1007.70;1009.30;-;-;-;-;-;-;-;-
STK;202406111200;-;-;-;-;-;-;20.00;2.50;5.00;969.50;-;1016.60;-;-;-;-;-;-;-;-
SAE;202406111200;-0.20;0.00;0.00;412.00;94.30;-1.00;271.00;19.10;29.50;749.80;-;1016.40;-;3041.50;-;-;-;-;-;-
THU;202406111200;12.60;0.00;0.00;121.00;83.10;9.80;285.00;6.80;11.50;949.20;1015.50;1016.10;-;-;-;-;-;-;-;-
TIT;202406111200;-2.10;-;0.00;317.00;99.60;-2.20;149.00;1.80;8.30;695.50;-;1017.20;-;3044.40;-;-;-;-;-;-
UEB;202406111200;-;-;0.00;149.00;-;-;-;-;-;-;-;-;-;-;68.00;13.30;16.20;6.80;90.30;5.30
ULR;202406111200;13.80;0.00;2.00;735.00;55.70;5.10;47.00;18.40;25.60;861.80;-;1013.60;1463.50;-;-;-;-;-;-;-
VAD;202406111200;11.80;0.00;0.00;111.00;77.20;7.90;318.00;10.80;20.20;962.30;1016.20;1016.30;-;-;-;-;-;-;-;-
VAB;202406111200;5.70;0.00;0.00;420.00;99.20;5.60;356.00;24.80;32.00;840.40;-;1015.60;1476.10;-;-;-;-;-;-;-
VLS;202406111200;10.30;0.00;0.00;328.00;94.40;9.40;356.00;7.90;23.00;-;-;-;-;-;-;-;-;-;-;-
VEV;202406111200;16.90;0.00;0.00;394.00;61.60;9.50;171.00;7.90;16.60;-;-;-;-;-;-;-;-;-;-;-
VIO;202406111200;17.80;0.00;9.00;1132.00;59.60;9.80;219.00;12.60;21.20;887.80;-;1011.90;1460.80;-;-;-;-;-;-;-
VIT;202406111200;12.10;0.00;-;-;77.00;8.20;56.00;14.80;22.30;-;-;-;-;-;-;-;-;-;-;-
VIS;202406111200;20.30;0.00;9.00;1046.00;46.40;8.40;295.00;23.00;34.20;936.30;-;1010.80;1468.30;-;-;-;-;-;-;-
WFJ;202406111200;-0.40;0.00;0.00;402.00;100.00;-0.40;320.00;10.40;13.30;733.20;-;1016.60;-;3043.20;-;-;-;-;-;-
WYN;202406111200;13.50;0.00;0.00;159.00;72.50;8.70;62.00;4.70;7.60;966.40;1016.00;1016.40;-;-;-;-;-;-;-;-
WAE;202406111200;11.20;0.00;0.00;93.00;80.80;8.00;290.00;2.90;5.40;959.50;1016.70;1016.80;-;-;-;-;-;-;-;-
PSI;202406111200;15.30;0.00;0.00;474.00;54.50;6.20;-;-;-;976.40;1015.60;1016.20;-;-;38.00;5.40;13.70;-;-;-
ZER;202406111200;12.80;0.00;10.00;1102.00;49.80;2.60;47.00;31.70;45.40;830.80;-;1012.80;1447.20;-;-;-;-;-;-;-
REH;202406111200;12.30;0.00;0.00;211.00;68.60;6.70;70.00;2.20;5.40;964.10;1016.30;1016.60;-;-;-;-;-;-;-;-
SMA;202406111200;11.40;0.00;0.00;164.00;73.40;6.80;44.00;5.40;10.40;951.20;1016.30;1016.60;-;-;-;-;-;9.50;79.70;6.20
KLO;202406111200;12.70;0.00;0.00;192.00;69.50;7.30;57.00;6.50;11.50;966.10;1016.30;1016.60;-;-;-;-;-;-;-;-
PFA;202406111200;12.10;0.00;0.00;169.00;78.80;8.50;58.00;5.80;11.20;953.40;1016.20;1016.50;-;-;-;-;-;-;-;-
